method,seed,trial,cost,safety_margin,safe,violation_steps,best_safe_cost,cumulative_unsafe_trials,predicted_safety_lcb,Kp1,Ki1,Kp2,Ki2
safe_bo,1,21,0.3290357552938507,0.426884650317893,True,0,0.3290357552938507,0,0.23316759843368662,3.920184689577897,0.035497161338664186,13.990874689614266,0.02889942747924265
safe_bo,1,22,0.3365081588057665,0.8245973188468203,True,0,0.3290357552938507,0,0.18852528026192034,0.7889084690649821,0.004471041158903699,11.59899586938708,0.1982647078606333
safe_bo,1,23,0.3363938986600474,0.39963669391462286,True,0,0.3290357552938507,0,0.43010860012259566,3.0124292028213797,0.025241652030179865,26.24214554689652,0.00999078828718031
safe_bo,1,24,0.34515265608294693,0.9915003011141649,True,0,0.3290357552938507,0,0.20562320833464687,0.4113828285984785,0.008023021805225919,16.095795819458885,0.12148782754351697
safe_bo,1,25,0.3477937375791249,1.1035621903361075,True,0,0.3290357552938507,0,0.46346637145463787,0.4519071277070467,0.005577273040621849,27.957938657534196,0.2212843837152769
safe_bo,1,26,0.34063813726891157,0.6280976087141316,True,0,0.3290357552938507,0,0.2647568150155619,0.4374562499535285,0.004028718689329683,10.770334410785866,0.3484497832630358
safe_bo,1,27,0.33180163110756977,0.6403269754768393,True,0,0.3290357552938507,0,0.254257159043926,3.326844601291309,0.04651751297712755,7.5393189719834615,0.01827622583048776
safe_bo,1,28,0.3499990412305511,0.8731486715726294,True,0,0.3290357552938507,0,0.28861881412151114,0.4594612356771018,0.010469763037997496,6.491802179720708,0.02809573370793636
safe_bo,1,29,0.33123387740309856,0.6584922797456855,True,0,0.3290357552938507,0,0.37533399960033786,2.608845864925893,0.06934700699590199,9.539038314831188,0.04350267840489156
safe_bo,1,30,0.33304003146337224,0.6584922797456855,True,0,0.3290357552938507,0,0.2407196601347693,1.9167516551207557,0.09161266992716983,9.898262487714334,0.10850412128237537
manual,2,1,0.3511986036389227,0.7109709443660545,True,0,0.3511986036389227,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,2,0.34977798039762925,0.6539509536784743,True,0,0.34977798039762925,0,,2.326254037348541,0.029999999999999995,2.0,0.029999999999999995
manual,2,3,0.35128486787428714,0.7039195249095853,True,0,0.34977798039762925,0,,2.0,0.037289383635559184,2.0,0.029999999999999995
manual,2,4,0.34846291481720054,0.6464895019369338,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.326254037348541,0.029999999999999995
manual,2,5,0.3496156281591844,0.6112478110879338,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.037289383635559184
manual,2,6,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,7,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,8,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,9,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,10,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,11,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,12,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,13,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,14,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,15,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,16,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,17,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,18,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,19,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,20,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,21,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,22,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,23,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,24,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,25,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,26,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,27,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,28,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,29,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
manual,2,30,0.3511986036389227,0.7109709443660545,True,0,0.34846291481720054,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
random,2,1,0.3511986036389227,0.7109709443660545,True,0,0.3511986036389227,0,,2.0,0.029999999999999995,2.0,0.029999999999999995
random,2,2,0.34977798039762925,0.6539509536784743,True,0,0.34977798039762925,0,,2.326254037348541,0.029999999999999995,2.0,0.029999999999999995
random,2,3,0.35128486787428714,0.7039195249095853,True,0,0.34977798039762925,0,,2.0,0.037289383635559184,2.0,0.029999999999999995
